time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-04T01:41:26.758Z,39.2203,-120.0861,8.1,-0.2,ml,5,83.41,0.034,0.157,nn,nn00664130,2018-11-04T04:27:29.070Z,"3km SW of Tahoe Vista, California",earthquake,,2.4,0,1,reviewed,nn,nn
2018-11-04T01:40:58.151Z,38.3725,-118.5014,14.4,-0.4,ml,5,175.03,0.121,0.1736,nn,nn00664129,2018-11-04T04:24:23.983Z,"20km SSE of Hawthorne, Nevada",earthquake,,5.9,0.26,2,reviewed,nn,nn
2018-11-04T01:38:43.498Z,39.2295,-120.0881,6.9,1.6,ml,25,55.73,0.037,0.1988,nn,nn00664111,2018-11-04T04:21:19.455Z,"3km WSW of Tahoe Vista, California",earthquake,,0.9,0.1,13,reviewed,nn,nn
2018-11-04T01:29:36.900Z,19.2366,-66.3416,28,2.92,md,7,305,0.9808,0.41,pr,pr2018308001,2018-11-04T06:11:45.437Z,"85km N of Brenas, Puerto Rico",earthquake,2.72,25.89,0.18,4,reviewed,pr,pr
2018-11-04T01:25:10.044Z,37.147,-116.6115,4.4,-0.4,ml,6,135.38,0.088,0.1363,nn,nn00664168,2018-11-04T15:36:30.351Z,"29km NNE of Beatty, Nevada",earthquake,,4.7,0.36,6,reviewed,nn,nn
2018-11-04T01:18:06.030Z,-4.5959,130.6736,76.42,4.4,mb,,123,2.29,0.65,us,us2000i6k6,2018-11-04T01:40:35.040Z,"239km SE of Amahai, Indonesia",earthquake,7,10.2,0.149,13,reviewed,us,us
2018-11-04T01:12:05.610Z,33.6798333,-116.8,17.08,1.14,ml,15,101,0.07809,0.23,ci,ci38348680,2018-11-04T01:15:49.427Z,"10km SW of Idyllwild, CA",earthquake,0.6,0.62,0.498,20,automatic,ci,ci
2018-11-04T01:10:25.766Z,40.3151,-119.688,0.9,1.9,ml,15,133.06,0.385,0.2094,nn,nn00664106,2018-11-04T04:12:04.339Z,"39km SW of Gerlach-Empire, Nevada",earthquake,,2.6,0.25,7,reviewed,nn,nn
2018-11-04T01:09:11.860Z,33.5106667,-116.7936667,4.15,0.48,ml,28,37,0.005836,0.24,ci,ci38348672,2018-11-04T01:12:44.894Z,"10km NE of Aguanga, CA",earthquake,0.29,0.69,0.153,15,automatic,ci,ci
2018-11-04T01:01:14.070Z,19.161,-155.476,32.76,1.76,md,47,113,0.01425,0.1,hv,hv70672571,2018-11-04T01:33:34.760Z,"4km S of Pahala, Hawaii",earthquake,0.53,0.66,0.052,22,reviewed,hv,hv
